City,Area,total_sqft,BHK,Parking,AC,Wifi,Lift,Security,Price,Price_per_sqft
Banglore,Horamavu,1100,2,0,0,0,1,1,47.85,4350.0
Banglore,Horamavu,1143,2,0,0,0,1,1,49.72,4350.0
Banglore,Horamavu,1089,2,0,0,0,1,1,47.37,4350.0
Banglore,Horamavu,1116,2,0,0,0,1,1,48.54,4349.0
Banglore,RR Nagar,1376,2,1,0,0,1,1,92.0,6686.0
Banglore,RR Nagar,1168,2,1,0,0,1,1,80.0,6849.0
Banglore,RR Nagar,1373,2,1,0,0,1,1,92.0,6701.0
Banglore,RR Nagar,1168,2,1,0,0,1,1,80.0,6849.0
Banglore,RR Nagar,1168,2,1,0,0,1,1,80.0,6849.0
Banglore,RR Nagar,1376,2,1,0,0,1,1,93.0,6759.0
Banglore,RR Nagar,1168,2,1,0,0,1,1,79.0,6764.0
Banglore,RR Nagar,1376,2,1,0,0,1,1,92.0,6686.0
Banglore,RR Nagar,1373,2,1,0,0,1,1,91.0,6628.0
Banglore,RR Nagar,1373,2,1,0,0,1,1,90.0,6555.0
Banglore,RR Nagar,1168,2,1,0,0,1,1,79.0,6764.0
Banglore,RR Nagar,1160,2,1,0,0,1,1,79.0,6810.0
Banglore,RR Nagar,1168,2,1,0,0,1,1,80.0,6849.0
Banglore,RR Nagar,1160,2,1,0,0,1,1,78.0,6724.0
Banglore,RR Nagar,1373,2,1,0,0,1,1,92.0,6701.0
Banglore,RR Nagar,1376,2,1,0,0,1,1,91.0,6613.0
Banglore,RR Nagar,1373,2,1,0,0,1,1,91.0,6628.0
Banglore,RR Nagar,1373,2,1,0,0,1,1,90.0,6555.0
Banglore,RR Nagar,1168,2,1,0,0,1,1,79.0,6764.0
Banglore,RR Nagar,1373,2,1,0,0,1,1,88.0,6409.0
Banglore,Kengeri,1140,3,1,0,0,1,0,39.9,3500.0
Banglore,Kengeri,1149,3,1,0,0,1,0,40.21,3500.0
Banglore,Kengeri,1168,3,1,0,0,1,0,40.88,3500.0
Banglore,Begur,1275,2,0,0,0,1,1,90.6,7106.0
Banglore,Begur,1210,2,0,0,0,1,1,86.44,7144.0
Banglore,Begur,1240,2,0,0,0,1,1,88.36,7126.0
Banglore,Begur,1450,3,0,0,0,1,1,102.0,7034.0
Banglore,Begur,1192,2,0,0,0,1,1,85.28,7154.0
Banglore,Begur,1190,2,0,0,0,1,1,85.16,7156.0
Banglore,Begur,1235,2,0,0,0,1,1,88.04,7129.0
Banglore,Begur,1400,3,0,0,0,1,1,99.1,7079.0
Banglore,Ramamurthy Nagar,1606,3,0,0,0,1,1,76.34,4753.0
Banglore,Ramamurthy Nagar,1239,2,0,0,0,1,1,59.7,4818.0
Banglore,Ramamurthy Nagar,1615,3,0,0,0,1,1,76.75,4752.0
Banglore,Ramamurthy Nagar,1180,2,0,0,0,1,1,57.02,4832.0
